RowID,Date,Year,Continuum of Care,State,IndicatorName,IndicatorValue
New Orleans Continuum of CareLAHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,New Orleans Continuum of Care,LA,Homeless Point in Time Count,2051
Atlanta Continuum of CareGAHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Atlanta Continuum of Care,GA,Homeless Point in Time Count,6832
Baton Rouge Continuum of CareLAHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,890
Nashville Continuum of CareTNHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Nashville Continuum of Care,TN,Homeless Point in Time Count,1542
Tampa Continuum of CareFLHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Tampa Continuum of Care,FL,Homeless Point in Time Count,9871
Louisville Continuum of CareKYHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Louisville Continuum of Care,KY,Homeless Point in Time Count,1473
Miami Continuum of CareFLHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Miami Continuum of Care,FL,Homeless Point in Time Count,3927
Oklahoma City Continuum of CareOKHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1345
Memphis Continuum of CareTNHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Memphis Continuum of Care,TN,Homeless Point in Time Count,1876
Raleigh Continuum of CareNCHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Raleigh Continuum of Care,NC,Homeless Point in Time Count,1106
Benchmark AverageHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Benchmark Average,,Homeless Point in Time Count,3207
New Orleans Continuum of CareLAHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,New Orleans Continuum of Care,LA,Homeless Point in Time Count,2051
Atlanta Continuum of CareGAHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Atlanta Continuum of Care,GA,Homeless Point in Time Count,6483
Baton Rouge Continuum of CareLAHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,744
Nashville Continuum of CareTNHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Nashville Continuum of Care,TN,Homeless Point in Time Count,1982
Tampa Continuum of CareFLHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Tampa Continuum of Care,FL,Homeless Point in Time Count,9871
Louisville Continuum of CareKYHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Louisville Continuum of Care,KY,Homeless Point in Time Count,2067
Miami Continuum of CareFLHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Miami Continuum of Care,FL,Homeless Point in Time Count,4709
Oklahoma City Continuum of CareOKHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1426
Memphis Continuum of CareTNHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Memphis Continuum of Care,TN,Homeless Point in Time Count,1776
Raleigh Continuum of CareNCHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Raleigh Continuum of Care,NC,Homeless Point in Time Count,981
Benchmark AverageHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Benchmark Average,,Homeless Point in Time Count,3338
New Orleans Continuum of CareLAHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,New Orleans Continuum of Care,LA,Homeless Point in Time Count,1619
Atlanta Continuum of CareGAHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,Atlanta Continuum of Care,GA,Homeless Point in Time Count,6840
Baton Rouge Continuum of CareLAHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,1042
Nashville Continuum of CareTNHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,Nashville Continuum of Care,TN,Homeless Point in Time Count,2156
Tampa Continuum of CareFLHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,Tampa Continuum of Care,FL,Homeless Point in Time Count,6483
Benchmark AverageHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,Benchmark Average,,Homeless Point in Time Count,2011
Louisville Continuum of CareKYHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,Louisville Continuum of Care,KY,Homeless Point in Time Count,2587
Miami Continuum of CareFLHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,Miami Continuum of Care,FL,Homeless Point in Time Count,4392
Oklahoma City Continuum of CareOKHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1734
Memphis Continuum of CareTNHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,Memphis Continuum of Care,TN,Homeless Point in Time Count,1814
Raleigh Continuum of CareNCHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,Raleigh Continuum of Care,NC,Homeless Point in Time Count,1043
Benchmark AverageHomeless Point in Time Count2007,01/01/2007 12:00:00 AM,2007,Benchmark Average,,Homeless Point in Time Count,3121
New Orleans Continuum of CareLAHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,New Orleans Continuum of Care,LA,Homeless Point in Time Count,1619
Atlanta Continuum of CareGAHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,Atlanta Continuum of Care,GA,Homeless Point in Time Count,6840
Baton Rouge Continuum of CareLAHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,1006
Nashville Continuum of CareTNHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,Nashville Continuum of Care,TN,Homeless Point in Time Count,2217
Tampa Continuum of CareFLHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,Tampa Continuum of Care,FL,Homeless Point in Time Count,6483
Louisville Continuum of CareKYHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,Louisville Continuum of Care,KY,Homeless Point in Time Count,2682
Miami Continuum of CareFLHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,Miami Continuum of Care,FL,Homeless Point in Time Count,4574
Oklahoma City Continuum of CareOKHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1335
Memphis Continuum of CareTNHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,Memphis Continuum of Care,TN,Homeless Point in Time Count,1566
Raleigh Continuum of CareNCHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,Raleigh Continuum of Care,NC,Homeless Point in Time Count,1144
Benchmark AverageHomeless Point in Time Count2008,01/01/2008 12:00:00 AM,2008,Benchmark Average,,Homeless Point in Time Count,3094
New Orleans Continuum of CareLAHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,New Orleans Continuum of Care,LA,Homeless Point in Time Count,8725
Atlanta Continuum of CareGAHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,Atlanta Continuum of Care,GA,Homeless Point in Time Count,7019
Baton Rouge Continuum of CareLAHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,1118
Nashville Continuum of CareTNHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,Nashville Continuum of Care,TN,Homeless Point in Time Count,2236
Tampa Continuum of CareFLHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,Tampa Continuum of Care,FL,Homeless Point in Time Count,7473
Louisville Continuum of CareKYHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,Louisville Continuum of Care,KY,Homeless Point in Time Count,1515
Miami Continuum of CareFLHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,Miami Continuum of Care,FL,Homeless Point in Time Count,4333
Oklahoma City Continuum of CareOKHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1475
Memphis Continuum of CareTNHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,Memphis Continuum of Care,TN,Homeless Point in Time Count,1613
Raleigh Continuum of CareNCHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,Raleigh Continuum of Care,NC,Homeless Point in Time Count,1152
Benchmark AverageHomeless Point in Time Count2009,01/01/2009 12:00:00 AM,2009,Benchmark Average,,Homeless Point in Time Count,3104
New Orleans Continuum of CareLAHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,New Orleans Continuum of Care,LA,Homeless Point in Time Count,8725
Atlanta Continuum of CareGAHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,Atlanta Continuum of Care,GA,Homeless Point in Time Count,7019
Baton Rouge Continuum of CareLAHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,1118
Nashville Continuum of CareTNHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,Nashville Continuum of Care,TN,Homeless Point in Time Count,2324
Tampa Continuum of CareFLHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,Tampa Continuum of Care,FL,Homeless Point in Time Count,7473
Louisville Continuum of CareKYHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,Louisville Continuum of Care,KY,Homeless Point in Time Count,1626
Miami Continuum of CareFLHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,Miami Continuum of Care,FL,Homeless Point in Time Count,3879
Oklahoma City Continuum of CareOKHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1128
Memphis Continuum of CareTNHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,Memphis Continuum of Care,TN,Homeless Point in Time Count,1657
Raleigh Continuum of CareNCHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,Raleigh Continuum of Care,NC,Homeless Point in Time Count,1180
Benchmark AverageHomeless Point in Time Count2010,01/01/2010 12:00:00 AM,2010,Benchmark Average,,Homeless Point in Time Count,3045
New Orleans Continuum of CareLAHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,New Orleans Continuum of Care,LA,Homeless Point in Time Count,6687
Atlanta Continuum of CareGAHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,Atlanta Continuum of Care,GA,Homeless Point in Time Count,6805
Baton Rouge Continuum of CareLAHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,501
Nashville Continuum of CareTNHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,Nashville Continuum of Care,TN,Homeless Point in Time Count,1938
Tampa Continuum of CareFLHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,Tampa Continuum of Care,FL,Homeless Point in Time Count,7336
Louisville Continuum of CareKYHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,Louisville Continuum of Care,KY,Homeless Point in Time Count,1628
Miami Continuum of CareFLHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,Miami Continuum of Care,FL,Homeless Point in Time Count,3817
Oklahoma City Continuum of CareOKHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1348
Memphis Continuum of CareTNHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,Memphis Continuum of Care,TN,Homeless Point in Time Count,1942
Raleigh Continuum of CareNCHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,Raleigh Continuum of Care,NC,Homeless Point in Time Count,1150
Benchmark AverageHomeless Point in Time Count2011,01/01/2011 12:00:00 AM,2011,Benchmark Average,,Homeless Point in Time Count,2941
New Orleans Continuum of CareLAHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,New Orleans Continuum of Care,LA,Homeless Point in Time Count,4903
Atlanta Continuum of CareGAHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,Atlanta Continuum of Care,GA,Homeless Point in Time Count,6811
Baton Rouge Continuum of CareLAHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,741
Nashville Continuum of CareTNHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,Nashville Continuum of Care,TN,Homeless Point in Time Count,1934
Tampa Continuum of CareFLHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,Tampa Continuum of Care,FL,Homeless Point in Time Count,7419
Louisville Continuum of CareKYHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,Louisville Continuum of Care,KY,Homeless Point in Time Count,1532
Miami Continuum of CareFLHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,Miami Continuum of Care,FL,Homeless Point in Time Count,3976
Oklahoma City Continuum of CareOKHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1303
Memphis Continuum of CareTNHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,Memphis Continuum of Care,TN,Homeless Point in Time Count,2076
Raleigh Continuum of CareNCHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,Raleigh Continuum of Care,NC,Homeless Point in Time Count,1116
Benchmark AverageHomeless Point in Time Count2012,01/01/2012 12:00:00 AM,2012,Benchmark Average,,Homeless Point in Time Count,2990
New Orleans Continuum of CareLAHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,New Orleans Continuum of Care,LA,Homeless Point in Time Count,2337
Atlanta Continuum of CareGAHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,Atlanta Continuum of Care,GA,Homeless Point in Time Count,5536
Baton Rouge Continuum of CareLAHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,833
Nashville Continuum of CareTNHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,Nashville Continuum of Care,TN,Homeless Point in Time Count,2069
Tampa Continuum of CareFLHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,Tampa Continuum of Care,FL,Homeless Point in Time Count,1909
Louisville Continuum of CareKYHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,Louisville Continuum of Care,KY,Homeless Point in Time Count,1445
Miami Continuum of CareFLHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,Miami Continuum of Care,FL,Homeless Point in Time Count,3802
Oklahoma City Continuum of CareOKHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1362
Memphis Continuum of CareTNHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,Memphis Continuum of Care,TN,Homeless Point in Time Count,1816
Raleigh Continuum of CareNCHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,Raleigh Continuum of Care,NC,Homeless Point in Time Count,1098
Benchmark AverageHomeless Point in Time Count2013,01/01/2013 12:00:00 AM,2013,Benchmark Average,,Homeless Point in Time Count,2208
New Orleans Continuum of CareLAHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,New Orleans Continuum of Care,LA,Homeless Point in Time Count,1981
Atlanta Continuum of CareGAHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,Atlanta Continuum of Care,GA,Homeless Point in Time Count,4797
Baton Rouge Continuum of CareLAHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,665
Nashville Continuum of CareTNHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,Nashville Continuum of Care,TN,Homeless Point in Time Count,2234
Tampa Continuum of CareFLHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,Tampa Continuum of Care,FL,Homeless Point in Time Count,1944
Louisville Continuum of CareKYHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,Louisville Continuum of Care,KY,Homeless Point in Time Count,1316
Miami Continuum of CareFLHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,Miami Continuum of Care,FL,Homeless Point in Time Count,4156
Oklahoma City Continuum of CareOKHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1481
Memphis Continuum of CareTNHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,Memphis Continuum of Care,TN,Homeless Point in Time Count,1675
Raleigh Continuum of CareNCHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,Raleigh Continuum of Care,NC,Homeless Point in Time Count,1170
Benchmark AverageHomeless Point in Time Count2014,01/01/2014 12:00:00 AM,2014,Benchmark Average,,Homeless Point in Time Count,2160
New Orleans Continuum of CareLAHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,New Orleans Continuum of Care,LA,Homeless Point in Time Count,1703
Atlanta Continuum of CareGAHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,Atlanta Continuum of Care,GA,Homeless Point in Time Count,4317
Baton Rouge Continuum of CareLAHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,659
Nashville Continuum of CareTNHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,Nashville Continuum of Care,TN,Homeless Point in Time Count,2154
Tampa Continuum of CareFLHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,Tampa Continuum of Care,FL,Homeless Point in Time Count,1931
Louisville Continuum of CareKYHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,Louisville Continuum of Care,KY,Homeless Point in Time Count,1161
Miami Continuum of CareFLHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,Miami Continuum of Care,FL,Homeless Point in Time Count,4152
Oklahoma City Continuum of CareOKHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1300
Memphis Continuum of CareTNHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,Memphis Continuum of Care,TN,Homeless Point in Time Count,1525
Raleigh Continuum of CareNCHomeless Point in Time Count2015,01/01/2015 12:00:00 AM,2015,Raleigh Continuum of Care,NC,Homeless Point in Time Count,904
